Distance In Route,Effective Grade Percent,Effective Speed Limit,Elevation
0.0,-0.174739,0.0,0.0
0.05,-0.174739,0.0,0.0
0.1,-0.174739,0.0,0.0
0.15000000000000002,-0.174739,0.0,0.0
0.2,-0.174739,0.0,0.0
0.25,-0.174739,0.0,0.0
0.30000000000000004,-0.17473899999999998,0.0,0.0
0.35000000000000003,-0.17473899999999998,0.0,0.0
0.4,-0.174739,0.0,0.0
0.45,0.32,25.0,0.0
0.5,0.31999999999999995,25.0,0.0
0.55,0.32,25.0,0.0
0.6000000000000001,0.32,25.0,0.0
0.65,0.3435974127277608,24.999999999999996,0.0
0.7000000000000001,0.3591353111190823,25.0,0.0
0.75,0.3612748602730996,25.0,0.0
0.8,0.35373668171026895,25.0,0.0
0.8500000000000001,0.31958474088516986,25.0,0.0
0.9,0.28669618074163794,25.0,0.0
0.9500000000000001,0.3077202329413041,25.0,0.0
1.0,0.3923938349496361,25.0,0.0
1.05,0.39204039542919245,25.0,0.0
1.1,0.3794816029130005,25.0,0.0
1.1500000000000001,0.4047498577971309,25.0,0.0
1.2000000000000002,0.424816781292129,24.999999999999996,0.8968021286400262
1.25,0.3966199885627555,25.0,1.8472021286400304
1.3,0.3694178362276989,25.0,2.704811704320023
1.35,0.33547283490735647,25.0,3.4176117043200276
1.4000000000000001,0.3086751657151005,25.0,4.039475672466682
1.4500000000000002,0.3258363552270177,25.0,4.409075672466682
1.5,0.3447145709761559,25.0,4.637636067826669
1.55,0.2866783803971142,25.0,4.690436067826669
1.6,0.21156949751374832,25.0,4.095591594159976
1.6500000000000001,0.15966973172857596,25.0,3.488391594159977
1.7000000000000002,0.13306403075666076,25.0,2.881191594159974
1.75,0.11036746806931716,25.0,2.270689480986633
1.8,0.06456444469036435,25.0,1.2938894809866406
1.85,0.0028001818373795777,25.0,0.31708948098664186
1.9000000000000001,-0.04807304007303867,25.0,-0.6597105190133573
1.9500000000000002,-0.08677931984730636,25.0,-1.6365105190133635
2.0,-0.12554687286375457,25.0,-2.6133105190133676
2.0500000000000003,-0.16046485500011928,25.0,-3.5901105190133578
2.1,-0.1994565854440418,25.0,-4.566910519013353
2.15,-0.2250558503633612,25.0,-5.511251614000001
2.2,-0.22236423101132852,25.0,-5.722451614000004
2.25,-0.21684923495649053,30.0,-5.933651614000004
2.3000000000000003,-0.22046690933350863,50.00000000000001,-6.14485161400001
2.35,-0.22630928110372056,50.0,-6.403422203200046
2.4000000000000004,-0.24589864744242707,50.0,-7.327422203200057
2.45,-0.26684378763437555,50.0,-8.25142220320005
2.5,-0.2846034826395725,50.0,-9.175422203200043
2.5500000000000003,-0.2976934544745083,50.0,-10.099422203200056
2.6,-0.3137386337164356,50.0,-11.023422203200056
2.6500000000000004,-0.32446141921339366,50.0,-12.114641950986739
2.7,-0.3344815422984245,50.0,-13.460115736906756
2.75,-0.34613733684130266,50.0,-15.09900024702671
2.8000000000000003,-0.3437345444230485,50.0,-16.075800247026702
2.85,-0.3394879904517224,50.0,-17.052600247026692
